R_version	name	version	date_time	hash	binary_location	status
4.3.2	ACEt	1.9.0	2024-01-31T01:34:58Z	743f4c6b360f990407fdeee85ab1a03b	/workspace/rst/cache_R_4_3.2/library/ACEt/1.9.0/743f4c6b360f990407fdeee85ab1a03b/ACEt	available
4.3.2	AER	1.2.12	2024-02-17T05:40:11Z	361f6ebbe412e452936fd18e9ee0b8ce	/workspace/rst/cache_R_4_3.2/library/AER/1.2-12/361f6ebbe412e452936fd18e9ee0b8ce/AER	available
4.3.2	AICcmodavg	2.3.3	2024-01-31T01:35:14Z	e644913d7dac22cd85a593911ead59ec	/workspace/rst/cache_R_4_3.2/library/AICcmodavg/2.3-3/e644913d7dac22cd85a593911ead59ec/AICcmodavg	available
4.3.2	ATACseqQC	1.26.0	2024-01-31T02:05:50Z	4a5ba827d55af610b10a4afc4f124220	/workspace/rst/cache_R_4_3.2/library/ATACseqQC/1.26.0/4a5ba827d55af610b10a4afc4f124220/ATACseqQC	available
4.3.2	AUCell	1.24.0	2024-01-31T02:07:59Z	3e7eae32552f8636b65d888ebe1cc827	/workspace/rst/cache_R_4_3.2/library/AUCell/1.24.0/3e7eae32552f8636b65d888ebe1cc827/AUCell	available
4.3.2	AnnotationDbi	1.64.1	2024-01-31T02:05:51Z	e1a73498a6f05605f2188b73f0519e09	/workspace/rst/cache_R_4_3.2/library/AnnotationDbi/1.64.1/e1a73498a6f05605f2188b73f0519e09/AnnotationDbi	available
4.3.2	AnnotationFilter	1.26.0	2024-01-31T02:05:52Z	ac66c8e1b2e80e13b05a883a293169f7	/workspace/rst/cache_R_4_3.2/library/AnnotationFilter/1.26.0/ac66c8e1b2e80e13b05a883a293169f7/AnnotationFilter	available
4.3.2	AnnotationForge	1.44.0	2024-01-31T02:10:54Z	e8c40abdc070424b955a9682537da395	/workspace/rst/cache_R_4_3.2/library/AnnotationForge/1.44.0/e8c40abdc070424b955a9682537da395/AnnotationForge	available
4.3.2	AnnotationHub	3.10.0	2024-01-31T02:05:52Z	958ebe2c52ae14fee84b12226dc961d1	/workspace/rst/cache_R_4_3.2/library/AnnotationHub/3.10.0/958ebe2c52ae14fee84b12226dc961d1/AnnotationHub	available
4.3.2	Azimuth	0.5.0	2024-02-17T05:40:12Z	32900f75ce287d961bc26699d207eb2e	/workspace/rst/cache_R_4_3.2/library/Azimuth/0.5.0/32900f75ce287d961bc26699d207eb2e/Azimuth	available
4.3.2	BBmisc	1.13	2024-01-31T02:11:06Z	e4b1347062a58420504b8705c6a1cf4b	/workspace/rst/cache_R_4_3.2/library/BBmisc/1.13/e4b1347062a58420504b8705c6a1cf4b/BBmisc	available
